# 意味分類表(見出し語と分類番号の対応)。検証用に生成した表である。
# 2 つの生成物を語ごとに中項目の和集合で合併したものである。片方にしか
# 載らない語は、その片方の分類をそのまま採った。
#
# 合併の元は 2 つある。第 1 は claude-haiku-4-5-20251001 が 43 中項目へ
# 分類した表、第 2 は gpt-5.6-luna が同じ 43 中項目へ分類した表である。
# どちらも同じ生成契約・同じ few-shot 26 語・同じ用例で作った。
#
# 生成の契約は次のとおりである。語義として挙げるのは、現代の日本語で日常的に
# 使われると広く認められるものだけである。比喩や転用に由来する語義も、辞書に
# 載る程度に定着していれば挙げる。攻撃の対象を指す「標的」がこれに当たる。
# 挙げないのは 3 つで、まだ定着していない直訳や転用、特定の文脈や界隈でしか
# 通じない用法、文学的・修辞的な言い回しにだけ現れる語義である。迷ったら
# 挙げない側に倒す。
#
# 分類番号は 1.mm00 の形で、mm が中項目の 2 桁である。小数点以下第 3 位と
# 第 4 位は 0 で埋めてあり、意味を持たない。
# 生成した日は 2026-08-30 である。
# 対象は、評価コーパスに現れた見出し語だけである。
# 版: union-mid-3
$	1.3700
%	1.1900
0	1.1900
15分間	1.1600
1990年代	1.1600
1月19日	1.1600
1月1日	1.1600
2世	1.2000
2月12日	1.1600
30分	1.1600
3月25日	1.1600
4月14日	1.1600
6月14日	1.1600
6月21日	1.1600
6月23日	1.1600
6月29日	1.1600
6月3日	1.1600
6月中旬	1.1600
7月1日	1.1600
8月1日	1.1600
8月6日	1.1600
9月29日	1.1600
A	1.1000	1.1800
ADP	1.1000	1.4000
AI	1.3000	1.3200	1.4500
ASCII	1.1100	1.3100	1.5100
ATM	1.4500
AU	1.2600
Ag	1.5100
Am	1.1000	1.3200
Ar	1.1000	1.5100
As	1.5100
Au	1.2700	1.5100
B	1.1000	1.3100
Ba	1.5100
C	1.3100	1.5100
CLI	1.4500
CM	1.3100	1.3200
CPU	1.4500
Ca	1.5100
Cal	1.1600	1.1900
Cl	1.5100
Cr	1.5100
Cu	1.5100
DAT	1.4000
DNA	1.5100	1.5300	1.5600
DVD	1.4000	1.4500
FIG	1.1800	1.3200	1.4000
FISA	1.3400	1.3600
FTP	1.3100	1.4500
Fe	1.5100
G	1.1100	1.5100
GK	1.2400
GUI	1.4500
Gs	1.1900
H	1.3100	1.5100
HD	1.4000	1.4500
HTTP	1.3100
He	1.5100
Hz	1.1900
I	1.2000
IC	1.4500
ICAO	1.2700
JAVA	1.3100	1.4500
Java	1.3100	1.4500
K	1.1800
L	1.3100
LA	1.2600
LAN	1.1700	1.4500
Linux	1.4000	1.4500
MIPS	1.4500
